Local Area Unemployment Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years:,1976 to 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Series ID,"Annual
1976","Annual
1977","Annual
1978","Annual
1979","Annual
1980","Annual
1981","Annual
1982","Annual
1983","Annual
1984","Annual
1985","Annual
1986","Annual
1987","Annual
1988","Annual
1989","Annual
1990","Annual
1991","Annual
1992","Annual
1993","Annual
1994","Annual
1995","Annual
1996","Annual
1997","Annual
1998","Annual
1999","Annual
2000","Annual
2001","Annual
2002","Annual
2003","Annual
2004","Annual
2005","Annual
2006","Annual
2007","Annual
2008","Annual
2009","Annual
2010","Annual
2011","Annual
2012"
LASST16000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
LASST16000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54159
LASST16000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720772
LASST16000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774931
LAUST16000003,5.4,5.6,5.5,5.8,7.1,7.6,9,8.8,7.4,7.8,8.1,7.5,6.1,5.3,5.5,5.9,6.4,6.1,5.4,5.2,5.3,5.1,5.1,4.9,4.6,4.9,5.4,5.2,4.6,3.7,3,3,4.7,7.4,8.8,8.7,6.4
LAUST16000004,20260,22030,22876,24850,30085,32538,39505,39707,34308,36500,38046,35524,28921,25818,27019,30123,33799,33456,31775,31426,32697,31835,33125,31922,30507,33039,37042,36130,32043,26762,22028,22265,35880,55827,66983,67077,49907
LAUST16000005,351792,373742,391245,402863,396282,398252,398844,410985,428790,428935,432278,435599,448856,461608,467102,476531,493767,516307,552354,567558,581191,598004,614748,620962,632451,644816,646142,652161,666080,695428,718077,727728,721876,696382,696515,703562,727109
LAUST16000006,372052,395772,414121,427713,426367,430790,438349,450692,463098,465435,470324,471123,477777,487426,494121,506654,527566,549763,584129,598984,613888,629839,647873,652884,662958,677855,683184,688291,698123,722190,740105,749993,757756,752209,763498,770639,777016
LASST17000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
LASST17000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581331
LASST17000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6045702
LASST17000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6627033
