Gross Domestic Product by State (millions of current dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All industry total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fips,Area,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
49000,Utah,2998,3078,3207,3409,3488,3724,4036,4448,4936,5604,6472,7348,8186,9300,10381,11998,13709,15311,17320,18365,19752,22147,24083,24282,25100,27325,28668,31249,33501,35602,38631,42591,46746,52016,55212,59775.9758767664,63087.1530693455,67853.2562474577,70673.2738623702,72846.8746971332,75929.5601577561,80521.8533859187,88482.934969846,97861.8370443733,105920.564667598,111110.451656262,109656.502131121,116424.349114833,121552.719098739,15601500
50000,Vermont,993,1090,1208,1435,1505,1628,1798,1980,2122,2294,2483,2577,2807,3222,3347,3942,4399,4856,5436,5755,6269,6895,7524,8169,9157,10259,11120,11674,11733,12538,13027,13689,13891,14672,15521,16337.7872648336,17257.6939218524,18417.5318379161,19208.7945007236,20010.2670043415,20967.9500723589,22335.0477568741,23220.2409551375,24108.497105644,24547.520260492,24957.9558610709,24755.8010130246,25794.1418234443,26448.5926193922,130800
51000,Virginia,11682,12713,13666,14904,15925,17693,19638,21048,23157,26064,29450,32428,35067,39574,43219,48379,53398,58669,66179,71465,79439,89768,97967,107348,117603,128088,137661,144971,151093,158990,167688,177057,186236,197756,210361,224842.076944589,243051.360643693,261003.389102716,279289.450528511,290064.257211926,306489.705157131,328605.678897474,355341.278712613,373484.752931696,388445.441389771,396745.412779068,403786.030027966,418154.433165853,427670.882822202,26900
53000,Washington,11171,11392,12330,14270,15659,17014,18091,18112,18761,20483,23342,26240,29282,32735,36826,42668,48713,52682,58918,62933,67949,74170,77341,84015,90325,99051,108064,118640,125895,134469,142500,150805,155069,166540,179639,193963.927475035,214586.422903702,221156.911368588,223699.636985894,230299.262871911,239952.490492385,250561.425525933,271301.441886493,291515.042171964,315770.002768211,324124.672653644,322319.123790935,330058.022843147,344873.430240542,445200
54000,West Virginia,4617,4892,5208,5570,5825,6091,6381,7088,7602,8391,9187,10684,11973,13249,14439,15957,17424,18408,19837,20511,20403,22172,22936,22880,23425,25876,26663,27754,29092,30410,31881,34592,36149,37224,38570,39900.3520660719,41875.9708288112,42254.7587156206,43890.3872726791,45467.8193080446,46857.3888874183,49713.1024168145,52945.5618498028,56363.8417555656,58057.6668343172,59449.2783969082,60852.1208671943,63234.0942901766,68223.6802816529,373400
55000,Wisconsin,12742,13719,14784,16133,16841,18226,19521,20193,22083,24064,27037,28694,32295,37033,40686,45423,50101,52899,57494,59488,63170,70013,73820,77824,82013,89620,95216,100236,104774,112972,120024,129437,135311,143444,151035,160086.575608724,169501.612168532,177092.354339246,183269.19346948,189959.271415255,197803.63743645,208594.633311076,218365.142669196,228352.330671233,236171.733715019,235744.367541766,235331.979154959,245356.112363562,254440.639102467,71700
56000,Wyoming,1353,1405,1448,1509,1541,1671,1801,1943,2100,2356,2844,3470,3983,4722,5540,6689,8063,10428,12703,12422,11578,12152,12205,10522,10370,10991,11437,12705,12977,13179,13791,14070,14608,15752,16084,16230.9615278923,17379.0294036823,18839.8048914537,20711.6306677659,21284.00714482,23322.6839791151,25746.9967023908,29005.5647155812,33996.731794449,37246.460016488,42931.550700742,37742.5932948612,39607.7892278098,41565.8029678483,266700
Legend / Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.7
1/ Estimates for 1977-86 are for the 1972 Standard Industrial Classification (SIC) industries electric and electronic equipment and instruments and related products.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/ Estimates for 1977-86 are for the 1972 SIC industries banking and credit agencies other than banks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/ Estimates for 1977-86 are for the 1972 SIC industries business services and miscellaneous professional services.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/ The combination of 1987 SIC industries electronic and other electric equipment and instruments and related products is the equivalent of 1972 SIC industries electric and electronic equipment and instruments and related products.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/ The combination of 1987 SIC industries depository institutions and nondepository institutions is the equivalent of 1972 SIC industries banking and credit agencies other than banks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/ The combination of 1987 SIC industries business services and other services is the equivalent of 1972 SIC industries business services and miscellaneous professional services.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note-- SIC Industry detail for the years 1987-97 is based on the 1987 Standard Industrial Classification (SIC). Industry detail for the years 1963-86 is based on the 1972 SIC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(D) Not shown in order to avoid the disclosure of confidential information; estimates are included in higher level totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(L) Less than $500,000 in nominal or real GDP by state.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(NA) Not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(NM) Not meaningful.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last updated: November 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
